Key,Source,Context,English,German,Russian
resourceBlueprintBook,items,Item,Blueprint (Book), Blaupause (Buch),чертеж (Книги)
resourceBlueprintBookDesc,items,Item,An empty blueprint to craft books., Eine leere Blaupause um Bücher herzustellen.,Пустой чертеж для создания книг.
resourceBlueprintSchematic,items,Item,Blueprint (Schematic), Blaupause (Schematic),Чертеж (Схемы)
resourceBlueprintSchematicDesc,items,Item,An empty blueprint to craft schematics., Eine leere Blaupause um Schematics herzustellen.,Пустой чертеж для создания схем.
writingFeather,items,Item,Nib,Schreibfeder,Перо
writingFeatherDesc,items,Item,To write something down, Um Dinge nieder zu schreiben,Что-то записать
workingDesk,blocks,Block,Writing Desk, Schreibtisch,Стол изучения
workingDeskDesc,blocks,Block,Here you can write your own schematics and books. Unlocked by Intellect 8., Hier kannst du deine eigenen Bücher und Schematics schreiben. Freischaltbar mit Intelligenz 8.,Здесь вы можете написать свои собственные схемы и книги. Открывается интеллектом 8.
deskTip,Journal,EnChanged,The writing Desk can be placed to write your own books and shematics out of scraped books and shematics.Unlocked by Intellect 8.,Am Schreibtisch kannst du aus zerlegten Büchern und Schematics neue Bücher und Schematics herstellen. Freischaltbar mit Intelligenz 8.,Стол изучения можно разместить для написания собственных книг и схем из вырезанных книг и схем. Разблокировано Интеллектом 8.
deskTip_title,Journal,KeyTrunk,Writing Desk, Schreibtisch,Стол изучения
