Key,english,japanese

------------------Entities---------------------------

vehicleBrownHorse,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]"
vehicleBlackHorse,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]"
vehicleYellowHorse,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]"
vehicleAlbinoHorse,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]"
vehicleCreamHorse,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]"
vehicleMidnightHorse,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]"
vehicleGrayHorse,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]"

animalBrownHorse,"Wild Brown Horse","野生の馬(茶)"
animalBlackHorse,"Wild Black Horse","野生の馬(黒)"
animalYellowHorse,"Wild Yellow Horse","野生の馬(黄)"
animalAlbinoHorse,"Wild Albino Horse","野生の馬(アルビノ)"
animalCreamHorse,"Wild Cream Horse","野生の馬(クリーム)"
animalMidnightHorse,"Wild Midnight Horse","野生の馬(ミッドナイト)"
animalGrayHorse,"Wild Gray Horse","野生の馬(灰)"

----------------Items----------------------

resourceBrownHorseSaddle,"[e7a729]Horse Saddle: (Brown)[-]","[e7a729]馬用サドル： (茶)[-]"
resourceBrownHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(茶)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleBrownHorsePlaceable,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]"
vehicleBrownHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceBlackHorseSaddle,"[e7a729]Horse Saddle: (Black)[-]","[e7a729]馬用サドル： (黒)[-]"
